material_name,material_type,UTS_MPa,Elongation_pct,Elastic_Mod_MPa,Shear_Mod_MPa,Density_gcm3,Thermal_Cond,Brinell_Hard,Poisson_ratio,Max_Temp_F,Embodied_Energy,Mo_max,Ni_max,Fe_max,Ti_max,N_max
"ASTM Grade 45 or 300 (ISO 300, EN-JL 1050, F13101) Grey Cast Iron",Iron Alloy,350.0,9.6,180000.0,69000.0,7.5,46.0,230.0,0.29,440.0,21.0,0.7,5.5,93.9,0.06,0.1
"ASTM Grade 50 or 350 (ISO 350, EN-JL 1060, F13501) Grey Cast Iron",Iron Alloy,380.0,9.6,180000.0,69000.0,7.5,46.0,260.0,0.29,440.0,21.0,0.7,5.5,93.9,0.06,0.1
"ASTM Grade 20 or 150 (ISO 150, EN-JL 1020, F11401) Grey Cast Iron",Iron Alloy,160.0,9.6,180000.0,69000.0,7.5,46.0,160.0,0.29,440.0,21.0,0.7,5.5,93.9,0.06,0.1
AWS E80C-B6 or E55C-B6 Weld Metal,Iron Alloy,630.0,19.0,190000.0,74000.0,7.8,39.0,190.0,0.29,440.0,25.0,0.65,0.6,94.4,0.06,0.1
AWS E110C-K4 or E76C-K4 Weld Metal,Iron Alloy,850.0,17.0,190000.0,73000.0,7.8,41.0,190.0,0.29,440.0,23.0,0.65,2.5,98.4,0.06,0.1
AWS ER90S-D2 or ER62S-D2 Weld Metal,Iron Alloy,710.0,19.0,190000.0,73000.0,7.8,47.0,190.0,0.29,440.0,21.0,0.6,0.15,97.4,0.06,0.1
AWS ER70S-A1 or ER49S-A1 (K11235) Weld Metal,Iron Alloy,590.0,22.0,190000.0,73000.0,7.8,50.0,190.0,0.29,440.0,20.0,0.65,0.2,99.3,0.06,0.1
AWS ER80S-Ni2 or ER55S-Ni2 (K21240) Weld Metal,Iron Alloy,620.0,27.0,190000.0,72000.0,7.8,52.0,190.0,0.29,440.0,22.0,0.7,2.8,97.6,0.06,0.1
AWS ER100S-1 or ER69S-1 (K10882) Weld Metal,Iron Alloy,770.0,18.0,190000.0,73000.0,7.8,49.0,190.0,0.29,440.0,24.0,0.55,2.1,96.9,0.1,0.1
AWS E80C-Ni3 or E55C-Ni3 (W23030) Weld Metal,Iron Alloy,630.0,27.0,190000.0,72000.0,7.8,51.0,190.0,0.29,440.0,23.0,0.7,3.8,97.3,0.06,0.1
AWS E70C-B2L or E49C-B2L (W52130) Weld Metal,Iron Alloy,580.0,21.0,190000.0,73000.0,7.8,39.0,190.0,0.29,440.0,22.0,0.65,0.2,98.0,0.06,0.1
AWS ER80S-B8 or ER55S-B8 (S50480) Weld Metal,Iron Alloy,630.0,19.0,190000.0,75000.0,7.8,26.0,190.0,0.28,440.0,28.0,1.2,0.5,90.8,0.06,0.1
AWS ER80S-B6 or ER55S-B6 (S50280) Weld Metal,Iron Alloy,620.0,19.0,190000.0,74000.0,7.8,40.0,190.0,0.29,440.0,24.0,0.65,0.6,94.7,0.06,0.1
AWS ER90S-B3 or ER62S-B3 (K30960) Weld Metal,Iron Alloy,690.0,19.0,190000.0,73000.0,7.8,40.0,190.0,0.29,440.0,24.0,1.2,0.2,95.9,0.06,0.1
AWS ER120S-1 or ER83S-1 (K21030) Weld Metal,Iron Alloy,930.0,17.0,190000.0,73000.0,7.8,46.0,190.0,0.29,440.0,25.0,0.65,2.8,96.1,0.1,0.1
AWS E90C-B3 or E62C-B3 (W53030) Weld Metal,Iron Alloy,710.0,19.0,190000.0,73000.0,7.8,41.0,190.0,0.29,440.0,24.0,1.2,0.2,96.4,0.06,0.1
AWS E80C-B3L or E55C-B3L (W53130) Weld Metal,Iron Alloy,620.0,19.0,190000.0,73000.0,7.8,41.0,190.0,0.29,440.0,24.0,1.2,0.2,96.5,0.06,0.1
AWS E90C-B9 or E55C-B9 Weld Metal,Iron Alloy,710.0,18.0,190000.0,75000.0,7.8,25.0,190.0,0.28,440.0,37.0,1.2,0.8,90.9,0.06,0.07
AWS E90C-D2 or E62C-D2 (W19230) Weld Metal,Iron Alloy,690.0,19.0,190000.0,73000.0,7.8,49.0,190.0,0.29,440.0,21.0,0.6,5.5,98.6,0.06,0.1
AWS E80C-Ni2 or E55C-Ni2 Weld Metal,Iron Alloy,620.0,27.0,190000.0,72000.0,7.8,52.0,190.0,0.29,440.0,22.0,0.7,2.8,98.3,0.06,0.1
AWS E80C-B2 or E55C-B2 (W52030) Weld Metal,Iron Alloy,630.0,22.0,190000.0,73000.0,7.8,39.0,190.0,0.29,440.0,22.0,0.65,0.2,97.9,0.06,0.1
AWS ER90S-B9 or ER62S-B9 (S50482) Weld Metal,Iron Alloy,690.0,18.0,190000.0,75000.0,7.8,25.0,190.0,0.28,440.0,37.0,1.2,0.8,90.7,0.06,0.07
AWS ER80S-Ni1 or ER55S-Ni1 (K11260) Weld Metal,Iron Alloy,630.0,27.0,190000.0,72000.0,7.8,41.0,190.0,0.29,440.0,21.0,0.35,1.1,98.8,0.06,0.1
AWS ER80S-B2 or ER55S-B2 (K20900) Weld Metal,Iron Alloy,620.0,21.0,190000.0,73000.0,7.8,40.0,190.0,0.29,440.0,21.0,0.65,0.2,97.5,0.06,0.1
AWS ER110S-1 or ER76S-1 (K21015) Weld Metal,Iron Alloy,870.0,17.0,190000.0,73000.0,7.8,47.0,190.0,0.29,440.0,25.0,0.55,2.6,96.3,0.1,0.1
AWS ER80S-Ni3 or ER55S-Ni3 (K31240) Weld Metal,Iron Alloy,630.0,27.0,190000.0,72000.0,7.8,51.0,190.0,0.29,440.0,23.0,0.7,3.8,96.6,0.06,0.1
AWS E70C-Ni2 or E49C-Ni2 (W22030) Weld Metal,Iron Alloy,560.0,27.0,190000.0,72000.0,7.8,52.0,190.0,0.29,440.0,22.0,0.7,2.8,98.3,0.06,0.1
AWS E80C-Ni1 or E55C-Ni1 (W21030) Weld Metal,Iron Alloy,620.0,27.0,190000.0,72000.0,7.8,40.0,190.0,0.29,440.0,21.0,0.3,1.1,99.2,0.06,0.1
AWS E110C-K3 or E76C-K3 Weld Metal,Iron Alloy,870.0,17.0,190000.0,73000.0,7.8,48.0,190.0,0.29,440.0,23.0,0.65,2.5,98.5,0.06,0.1
AWS ER70S-B2L or ER49S-B2L (K20500) Weld Metal,Iron Alloy,590.0,22.0,190000.0,73000.0,7.8,40.0,190.0,0.29,440.0,21.0,0.65,0.2,97.6,0.06,0.1
AWS ER80S-B3L or ER55S-B3L (K30560) Weld Metal,Iron Alloy,630.0,19.0,190000.0,74000.0,7.8,41.0,190.0,0.29,440.0,23.0,1.2,0.2,96.0,0.06,0.1
AWS ER80S-D2 or ER55S-D2 (K10945) Weld Metal,Iron Alloy,620.0,19.0,190000.0,73000.0,7.8,47.0,190.0,0.29,440.0,21.0,0.6,0.15,97.4,0.06,0.1
AWS E80C-W2 or E55C-W2 Weld Metal,Iron Alloy,620.0,25.0,190000.0,72000.0,7.8,39.0,190.0,0.29,440.0,20.0,0.7,0.8,98.0,0.06,0.1
AWS E90C-K3 or E62C-K3 Weld Metal,Iron Alloy,710.0,55.0,190000.0,73000.0,7.8,48.0,190.0,0.29,440.0,23.0,0.65,2.5,98.5,0.06,0.1
AWS E100C-K3 or E69C-K3 Weld Metal,Iron Alloy,770.0,18.0,190000.0,73000.0,7.8,48.0,190.0,0.29,440.0,23.0,0.65,2.5,98.5,0.06,0.1
AWS E120C-K4 or E83C-K4 Weld Metal,Iron Alloy,950.0,17.0,190000.0,73000.0,7.8,41.0,190.0,0.29,440.0,23.0,0.65,2.5,98.4,0.06,0.1
AWS E80C-B8 or E55C-B8 Weld Metal,Iron Alloy,620.0,19.0,190000.0,75000.0,7.8,25.0,190.0,0.28,440.0,28.0,1.2,0.2,90.6,0.06,0.1
"ACI-ASTM CF8 (SCS13, SCS13A,J92600) Cast Stainless Steel",Iron Alloy,540.0,55.0,200000.0,77000.0,7.8,16.0,140.0,0.28,980.0,44.0,0.5,11.0,74.0,0.06,0.1
ACI-ASTM CG6MMN (J93790) Cast Stainless Steel,Iron Alloy,670.0,34.0,200000.0,79000.0,7.8,39.0,190.0,0.28,1080.0,68.0,3.0,13.5,62.1,0.06,0.4
ACI-ASTM CG8M (J93000) Cast Stainless Steel,Iron Alloy,550.0,45.0,200000.0,79000.0,7.9,16.0,180.0,0.28,1020.0,56.0,4.0,13.0,70.0,0.06,0.1
ACI-ASTM CH10 (J93401) Cast Stainless Steel,Iron Alloy,540.0,34.0,200000.0,78000.0,7.8,15.0,160.0,0.27,1100.0,53.0,0.5,15.0,66.0,0.06,0.1
"ASTM Grade HL (29Cr-20Ni,N08604) Cast Stainless Steel",Iron Alloy,500.0,11.0,200000.0,80000.0,7.8,39.0,150.0,0.27,1100.0,65.0,0.5,22.0,53.8,0.06,0.1
"ACI-ASTM CF3M (SCS16A,J92800) Cast Stainless Steel",Iron Alloy,520.0,55.0,200000.0,78000.0,7.9,16.0,150.0,0.28,990.0,53.0,3.0,13.0,72.0,0.06,0.1
EN 1.4451 (GX2CrNiMoCuN26-5-3-3) Cast Stainless Steel,Iron Alloy,750.0,25.0,200000.0,80000.0,7.8,17.0,220.0,0.27,1100.0,53.0,3.5,7.0,64.6,0.06,0.22
EN 1.4825 (GX25CrNiSi18-9) Cast Stainless Steel,Iron Alloy,510.0,17.0,200000.0,77000.0,7.7,15.0,150.0,0.28,900.0,43.0,0.5,10.0,74.4,0.06,0.1
ACI-ASTM CE30 (J93423) Cast Stainless Steel,Iron Alloy,630.0,11.0,200000.0,79000.0,7.7,14.0,180.0,0.27,1100.0,49.0,0.7,11.0,66.0,0.06,0.1
EN 1.4857 (GX40NiCrSi35-26) Cast Stainless Steel,Iron Alloy,500.0,6.7,200000.0,78000.0,7.9,13.0,150.0,0.28,1100.0,81.0,0.5,36.0,41.7,0.06,0.1
EN 1.4852 (GX40NiCrSiNb35-26) Cast Stainless Steel,Iron Alloy,490.0,4.6,200000.0,77000.0,7.9,13.0,140.0,0.28,1100.0,100.0,0.5,36.0,40.9,0.06,0.1
ACI-ASTM CG12 (J93001) Cast Stainless Steel,Iron Alloy,550.0,40.0,200000.0,78000.0,7.8,15.0,160.0,0.28,1040.0,48.0,0.7,13.0,70.0,0.06,0.1
"ASTM Grade HI (28Cr-15Ni,J94003) Cast Stainless Steel",Iron Alloy,550.0,11.0,200000.0,79000.0,7.8,15.0,160.0,0.27,1100.0,59.0,0.5,18.0,59.8,0.06,0.1
"ACI-ASTM CF8M (SCS14, SCS14A,J92900) Cast Stainless Steel",Iron Alloy,540.0,50.0,200000.0,78000.0,7.8,16.0,170.0,0.28,1000.0,53.0,3.0,12.0,71.0,0.06,0.1
EN 1.4849 (GX40NiCrSiNb38-19) Cast Stainless Steel,Iron Alloy,480.0,4.5,190000.0,75000.0,8.0,12.0,140.0,0.28,1020.0,100.0,0.5,39.0,43.5,0.06,0.1
EN 1.4416 (GX2NiCrMoN25-20-5) Cast Stainless Steel,Iron Alloy,500.0,34.0,200000.0,79000.0,8.1,12.0,150.0,0.28,1100.0,79.0,5.5,26.0,52.4,0.06,0.2
"ASTM Grade HT (15Cr-35Ni,N08605) Cast Stainless Steel",Iron Alloy,500.0,4.6,190000.0,76000.0,8.0,12.0,150.0,0.28,1010.0,76.0,0.5,37.0,51.7,0.06,0.1
EN 1.4412 (GX5CrNiMo19-11-3) Cast Stainless Steel,Iron Alloy,490.0,34.0,200000.0,79000.0,7.9,15.0,140.0,0.28,1000.0,56.0,3.5,13.0,69.0,0.06,0.1
EN 1.4837 (GX40CrNiSi25-12) Cast Stainless Steel,Iron Alloy,500.0,6.8,200000.0,78000.0,7.7,14.0,150.0,0.27,1050.0,53.0,0.5,14.0,63.7,0.06,0.1
